COD,intercept,slope,mk_p_value,Trend_Class
360_PE,0.7552092347405182,-2.663781861759735e-5,0.057677443816419115,0
361_PE,0.7002292634130598,-2.893215173656409e-5,0.25475116299043793,0
364_PE,0.7283230671536853,-1.807554556589539e-5,0.11577768575893195,0
365_PE,0.7588287572455295,-2.2208440648831498e-5,0.25475116299043793,0
367_PE,0.7084019780158997,-2.0148404104364626e-5,0.5508020125828832,0
369_PE,0.7390770352324225,-9.316354457268787e-6,0.21226914289197216,0
372_PE,0.733153283974948,-1.6734082611677854e-05,0.09272192830739202,0
373_PE,0.737778712174634,-1.2870897849730606e-5,0.14311729825820144,0
374_PE,0.737778712174634,-1.2870897849730606e-5,0.14311729825820144,0
375_PE,0.7322577218152313,-2.6059016247635177e-5,0.057677443816419115,0
378_PE,0.7444495186700926,-2.345010976899754e-5,0.026179598354081148,1
382_PE,0.7310351606489507,-1.2041815637001543e-5,0.7862656133328395,0
383_PE,0.7466733219551043,-1.3042289536453218e-5,0.9567498363337371,0
384_PE,0.7361878156661987,-4.717384653268812e-6,0.9567498363337371,0
385_PE,0.7520845516276775,-1.006293597478158e-5,0.6254835936164522,0
386_PE,0.7403074559020874,-6.949287195990355e-6,0.14311729825820144,0
388_PE,0.7344323753592179,-1.9270521995616104e-5,0.09272192830739202,0
389_PE,0.7344323753592179,-1.9270521995616104e-5,0.09272192830739202,0
390_PE,0.7687751478733685,-1.113698516602371e-5,0.3028130413278165,0
391_PE,0.74682454531602,-8.834296995722937e-6,0.6254835936164522,0
392_PE,0.7518847663247055,-2.0364993214530006e-5,0.3028130413278165,0
393_PE,0.7324113098393961,-8.283962296751808e-7,0.5508020125828832,0
394_PE,0.7445932164854554,8.611048979834842e-7,0.21226914289197216,0
395_PE,0.7427330011840042,-2.2003873746994644e-6,0.5508020125828832,0
396_PE,0.7364434876211403,-1.8952947267740092e-5,0.04479155364412944,1
398_PE,0.7415206920925561,-1.1840024389867098e-5,0.01970056376877756,1
3_SC,0.7781211501210077,-3.457535904603332e-5,0.014668259625073754,1
400_PE,0.7462100078590922,-1.558199682788308e-5,0.01970056376877756,1
406_MS,0.6984424929606452,-1.8134559709279703e-5,0.5508020125828832,0
40_SC,0.7064855703383718,-1.245277603144245e-5,0.6254835936164522,0
410_MS,0.6769977348616292,-2.7200414937284927e-5,0.8707563451116445,0
411_MS,0.7037163531800859,-1.3663498675660073e-5,0.7862656133328395,0
414_MS,0.7014754281698722,-4.585581974408938e-5,0.010805309438568245,1
416_MS,0.688617176575926,-2.8709071913922963e-5,0.21226914289197216,0
418_MS,0.7357510694575866,-2.6531145288972724e-5,0.17515792247265102,0
41_SC,0.7264455702102041,-1.7623480930448667e-5,0.25475116299043793,0
420_MS,0.7091804231019935,-3.776352036382977e-5,0.25475116299043793,0
424_MS,0.7527144848622289,-2.475362208687226e-5,1.1786940909938461e-4,3
426_MS,0.7300561959477907,-3.059240529278496e-5,0.005677232138159304,2
427_MS,0.7647471221892445,-3.542440187749147e-5,0.04479155364412944,1
428_MS,0.7669003028629868,-1.6471649055765035e-5,0.11577768575893195,0
430_MS,0.7410344729790241,-3.486325250532701e-5,9.390125330806508e-4,3
431_MS,0.7312480370099668,-2.3334668794733966e-5,0.001375591267246586,2
435_MS,0.7270651915494133,-3.747964640580158e-5,4.753120115580359e-5,3
436_MS,0.727861762046814,-3.933994440472131e-5,4.753120115580359e-5,3
437_MS,0.7121934847219427,-1.3384479397957437e-5,0.007874639047666712,2
438_MS,0.7409261465072632,-3.7006177349776945e-5,1.1187855507857059e-5,3
439_MS,0.7270131091480233,-4.357585950247326e-5,2.3789672228074955e-6,3
440_MS,0.7629785875314908,-3.608473008801481e-5,0.007874639047666712,2
442_MS,0.7925111651420593,-2.1687197792830885e-5,0.004048875107081628,2
443_MS,0.8113207817077637,-1.3715710588615527e-5,0.17515792247265102,0
446_MS,0.7932460359810549,-1.5925933073739107e-5,0.010805309438568245,1
449_MS,0.8122803257371918,-2.8820170538454166e-5,0.001375591267246586,2
44_SC,0.715083671856076,-3.064849638283587e-5,0.11577768575893195,0
451_MS,0.7836505607027893,-1.8828162201455463e-5,0.014668259625073754,1
453_MS,0.7299712475642417,-2.565249474393615e-5,0.01970056376877756,1
456_MS,0.7204423727033435,-2.369695746195946e-5,0.001993096855857301,2
457_MS,0.6584840238037859,-4.2680410486004364e-5,0.001375591267246586,2
458_MS,0.6266729771569838,-2.208691528707106e-5,1,0
459_MS,0.6827010501546376,-2.786331412636533e-5,0.07350596825708802,0
460_MS,0.6417331441565,-2.2796866795405183e-5,0.3565523377672604,0
461_MS,0.705158421974942,-5.3247710624591507e-5,7.527026953408958e-5,3
462_MS,0.7235105683071201,-4.4929474388702206e-5,2.967954437570082e-5,3
464_MS,0.7108959555625916,-3.766400376074643e-5,0.01970056376877756,1
469_MS,0.6611814455451618,-5.059396262794116e-5,0.002856303628114438,2
46_SC,0.7131067122481135,-1.3936631586133436e-5,0.7862656133328395,0
476_MS,0.6869232353218655,-5.0067247040396075e-5,7.527026953408958e-5,3
479_MS,0.6716244583672735,-4.164355999243894e-5,1.825248978374082e-4,3
481_FS,0.609296764250735,-3.1180650800672294e-5,0.8707563451116445,0
482_FS,0.72361291995069,-3.8879303941967384e-5,0.007874639047666712,2
483_FS,0.7353974600561279,-4.0440973938026384e-5,0.014668259625073754,1
484_FS,0.6910175000752588,-2.865247436584479e-5,0.04479155364412944,1
485_FS,0.6987325095016874,-5.1583540216624496e-5,0.005677232138159304,2
488_FS,0.6852579535860079,-7.325345426593728e-5,4.232910921599389e-4,3
